"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
litecoin,173.85,11604955714.091042,5441779675.987408,2.3873918098024243,1622379596,109,"2021-05-30 06:00:04"
dogecoin,0.300745,39040619692.77705,3249532266.836283,0.4639017109181236,1622379593,110,"2021-05-30 06:00:04"
bitcoin,35517.0,664944502392.1289,42887695835.68367,2.0172005197479024,1622379598,111,"2021-05-30 06:00:04"
ethereum,2392.34,279825954015.62476,49590214614.75039,-0.1557710402465855,1622379588,112,"2021-05-30 06:00:04"
litecoin,175.29,11668099557.720217,5366494403.740995,3.7624102641341333,1622383018,113,"2021-05-30 07:00:04"
bitcoin,35723.0,666250130924.3527,42013555425.42918,2.637623739138721,1622383027,114,"2021-05-30 07:00:04"
ethereum,2395.95,277048694967.8506,49093054701.75532,0.2122175258657475,1622383138,115,"2021-05-30 07:00:04"
dogecoin,0.300254,38935335743.1907,3695386348.7106733,1.0102967804291856,1622383167,116,"2021-05-30 07:00:04"
bitcoin,35362.0,662040978754.0321,38283337808.5384,2.467370531144037,1622386661,117,"2021-05-30 08:00:04"
dogecoin,0.297836,38662991537.65437,3159325474.1900907,2.320143952909942,1622386677,118,"2021-05-30 08:00:04"
ethereum,2358.33,273771528068.02982,45010791481.55176,-0.21751594412734235,1622386735,119,"2021-05-30 08:00:04"
litecoin,173.43,11576558495.265873,5300570966.220904,3.7348155456705285,1622386674,120,"2021-05-30 08:00:04"
dogecoin,0.299764,38550397466.27308,3107123299.5533004,4.509461013412562,1622390363,121,"2021-05-30 09:00:04"
bitcoin,35549.0,664967024331.6211,37821350098.88712,3.5303283346035017,1622389959,122,"2021-05-30 09:00:04"
litecoin,174.99,11581628266.470514,5166624769.829361,5.716358286209423,1622390393,123,"2021-05-30 09:00:04"
ethereum,2371.88,274831765705.6912,44503491776.32364,1.9627048744585127,1622389958,124,"2021-05-30 09:00:04"
litecoin,173.32,11569769668.924936,4848903614.599693,3.1866844051139043,1622393956,125,"2021-05-30 10:00:04"
ethereum,2405.44,278759122031.48694,42344303551.09489,1.2332871627157058,1622393995,126,"2021-05-30 10:00:04"
dogecoin,0.302178,39226638416.61576,2897433502.8196917,1.291990719460047,1622393996,127,"2021-05-30 10:00:04"
bitcoin,35660.0,667623733117.834,34627539175.1196,2.373599779615642,1622393928,128,"2021-05-30 10:00:04"
ethereum,2433.83,281900217105.44806,41937502576.7541,7.253649627407982,1622397536,129,"2021-05-30 11:00:04"
dogecoin,0.305105,39559757701.07216,2854565624.5513587,6.765196913451256,1622397515,130,"2021-05-30 11:00:04"
bitcoin,36017.0,672072387354.9779,34657232230.5334,6.720574546036835,1622397539,131,"2021-05-30 11:00:04"
litecoin,175.02,11674107110.643095,4727770228.6,9.562137322981698,1622397495,132,"2021-05-30 11:00:04"
dogecoin,0.307789,39955050737.95073,2827423317.0630717,5.138773942030299,1622401138,133,"2021-05-30 12:00:10"
ethereum,2466.62,284906322767.8137,41658127370.23139,8.36514907016584,1622401127,134,"2021-05-30 12:00:10"
litecoin,175.3,11701680336.19395,4618737174.931254,8.869121874838942,1622401194,135,"2021-05-30 12:00:10"
bitcoin,36272.0,679090316965.7125,34002055980.091423,6.112925425283555,1622401122,136,"2021-05-30 12:00:10"
litecoin,174.7,11691238480.437244,4518424473.223802,8.342653024217398,1622404712,137,"2021-05-30 13:00:04"
bitcoin,36118.0,679393320860.3428,32613078471.3798,5.773729097556445,1622404713,138,"2021-05-30 13:00:04"
ethereum,2451.02,285562373777.038,40558929577.11973,8.11876175891296,1622404715,139,"2021-05-30 13:00:04"
dogecoin,0.30786,40108133337.61213,3177235277.90901,5.201720561674662,1622404713,140,"2021-05-30 13:00:04"
ethereum,2449.48,283660621125.6505,39731977674.104485,9.57378176390319,1622408220,141,"2021-05-30 14:00:05"
litecoin,174.51,11637012455.15837,4435227375.785828,8.916064350848758,1622408367,142,"2021-05-30 14:00:05"
dogecoin,0.304078,39571038121.09398,3098677439.159251,3.366301305537474,1622408394,143,"2021-05-30 14:00:05"
bitcoin,36162.0,676964668269.098,32689049547.816612,5.681941344730328,1622408399,144,"2021-05-30 14:00:05"
ethereum,2435.97,284130309228.8516,38948340068.473434,6.671203202959358,1622411959,145,"2021-05-30 15:00:05"
bitcoin,36136.0,676557545195.6786,32068532618.509914,4.16746925304712,1622411886,146,"2021-05-30 15:00:05"
dogecoin,0.301713,39166305087.7173,3040691223.4940033,0.7369065784877146,1622411953,147,"2021-05-30 15:00:05"
litecoin,173.3,11567947747.43976,4356778428.659719,6.197144701786543,1622411852,148,"2021-05-30 15:00:05"
ethereum,2419.87,279817765242.2257,38327980423.052986,6.739362024809021,1622415480,149,"2021-05-30 16:00:04"
litecoin,172.12,11423345305.814655,4266207376.1246953,6.402947038610068,1622415504,150,"2021-05-30 16:00:04"
