"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
bitcoin,35392.0,662986204827.2417,37732582164.30204,-4.378370224977409,1623473973,1326,"2021-06-11 22:00:03"
bitcoin,35110.0,657700466805.8713,37351008733.0995,-5.567559700868712,1623477546,1332,"2021-06-11 23:00:03"
bitcoin,35354.0,662282818400.147,37558692426.26126,-3.6417421959143472,1623481187,1333,"2021-06-12 00:00:07"
bitcoin,35445.0,663984261560.4324,37732748931.546455,-4.79445472712771,1623484793,1339,"2021-06-12 01:00:04"
bitcoin,35240.0,661455693353.573,37164702552.5244,-5.153946069165475,1623488328,1341,"2021-06-12 02:00:04"
bitcoin,35218.0,660012208268.9293,36922553254.33664,-5.49360153213007,1623491986,1348,"2021-06-12 03:00:04"
bitcoin,36121.0,670122211026.0183,38196360658.051285,-4.053088208660949,1623495565,1351,"2021-06-12 04:00:03"
bitcoin,35673.0,667277893208.9192,38479669589.05792,-4.692507648108988,1623499179,1354,"2021-06-12 05:00:03"
bitcoin,36202.0,678172102500.7457,39213032174.15777,-3.3978789467020833,1623502782,1360,"2021-06-12 06:00:05"
bitcoin,36232.0,677421889558.8212,39247497894.8519,-3.48170291499533,1623506399,1362,"2021-06-12 07:00:03"
bitcoin,35866.0,671876634670.1953,38771865384.840164,-3.948178499080153,1623509977,1365,"2021-06-12 08:00:03"
bitcoin,35481.0,664679912026.401,38226485501.50189,-4.208961155300499,1623513598,1369,"2021-06-12 09:00:05"
bitcoin,35606.0,667009349306.135,37686189198.138405,-3.033077808229934,1623517200,1374,"2021-06-12 10:00:05"
bitcoin,35885.0,672236215133.9333,37743896639.673416,-3.0993978071505324,1623520781,1377,"2021-06-12 11:00:04"
bitcoin,36161.0,675901033016.0569,37932818644.480515,-2.879802467260327,1623524379,1383,"2021-06-12 12:00:03"
bitcoin,35879.0,672131166441.0212,37309350757.39496,-3.8048776367942176,1623527945,1387,"2021-06-12 13:00:03"
bitcoin,36189.0,677942061918.2523,37414942559.29447,-3.3193060423340914,1623531584,1391,"2021-06-12 14:00:11"
bitcoin,35998.0,674356622157.107,36958281397.26799,-2.497626323023044,1623535207,1394,"2021-06-12 15:00:11"
bitcoin,35802.0,670683371882.4178,36349081582.26284,-4.2728305543074665,1623538782,1398,"2021-06-12 16:00:03"
bitcoin,35666.0,668148892256.3638,35710196743.32056,-4.371889847550716,1623542399,1401,"2021-06-12 17:00:06"
bitcoin,35798.0,670627924289.1787,35327386852.69065,-3.674393328652712,1623545992,1408,"2021-06-12 18:00:05"
bitcoin,35908.0,672681421098.4722,34505795689.707405,-1.2809251600681042,1623549588,1412,"2021-06-12 19:00:04"
bitcoin,35598.0,668216297091.9923,32642200462.18281,-0.7923387596177134,1623553184,1416,"2021-06-12 20:00:03"
bitcoin,34951.0,654747225761.0542,31272654188.802635,-1.8845444215824834,1623556800,1420,"2021-06-12 21:00:04"
bitcoin,35222.0,659825794494.679,31519524783.073116,-0.4892630112720877,1623560399,1423,"2021-06-12 22:00:03"
bitcoin,35125.0,658020401531.941,31034037528.576412,-0.3788302905589284,1623563982,1428,"2021-06-12 23:00:03"
bitcoin,35309.0,659736135948.6305,30944755682.631714,-0.12851636714311265,1623567584,1432,"2021-06-13 00:00:03"
bitcoin,35336.0,661976680683.5927,29946527662.28867,-0.3063450745149234,1623571191,1436,"2021-06-13 01:00:11"
bitcoin,35671.0,667657912926.1172,30712383544.129982,0.9672020404218631,1623574799,1439,"2021-06-13 02:00:03"
bitcoin,35705.0,668889697432.6967,29933153719.50603,1.3845608299354224,1623578365,1444,"2021-06-13 03:00:03"
bitcoin,36211.0,678358830884.1737,29491718903.87714,0.6492693090990241,1623581989,1446,"2021-06-13 04:00:04"
bitcoin,35833.0,671291452215.2804,28473956314.37648,0.5010645988469689,1623585599,1450,"2021-06-13 05:00:11"
bitcoin,35976.0,673970848573.0309,28610787075.70802,-0.4419084765724952,1623589198,1455,"2021-06-13 06:00:03"
bitcoin,36115.0,675944207061.6818,28433681213.92885,-0.3235808565499916,1623592776,1460,"2021-06-13 07:00:04"
bitcoin,35900.0,672540349028.7177,28099009330.125446,0.07019528211409866,1623596392,1464,"2021-06-13 08:00:03"
bitcoin,36009.0,674596742586.648,27833936324.143,1.4891775503691984,1623599969,1467,"2021-06-13 09:00:12"
bitcoin,37392.0,700508316042.9268,29588463589.800518,5.0179524434606835,1623603595,1470,"2021-06-13 10:00:03"
